word	phonetic	chinese	english
alarm	ә'lɑ:m	n. 惊恐, 警报, 警钟；vt. 使惊恐, 警告；报警信号	n. fear resulting from the awareness of danger / n. a device that signals the occurrence of some undesirable event / n. an automatic signal (usually a sound) warning of danger
alarming	ә'lɑ:miŋ	a. 使人惊恐的, 引起惊恐的	a. frightening because of an awareness of danger
albeit	ɔ:l'bi:it	conj. 尽管, 虽然	conj. Even though; although; notwithstanding.
album	'ælbәm	n. 粘贴簿, 唱片套；白色物	n. one or more recordings issued together; originally released on 12-inch phonograph records (usually with attractive record covers) and later on cassette audiotape and compact disc / n. a book of blank pages with pockets or envelopes; for organizing photographs or stamp collections etc
alcohol	'ælkәhɒl	n. 酒精, 酒；醇; 乙醇; 酒精	n. a liquor or brew containing alcohol as the active agent / n. any of a series of volatile hydroxyl compounds that are made from hydrocarbons by distillation
alcoholic	.ælkә'hɒlik	n. 酒鬼, 酒精中毒者；a. 酒精的	n. a person who drinks alcohol to excess habitually / a. characteristic of or containing alcohol / s. addicted to alcohol
alert	ә'lә:t	a. 警觉的, 灵敏的, 留心的；n. 警报；vt. 使警觉, 通知, 使意识到	n. condition of heightened watchfulness or preparation for action / n. a warning serves to make you more alert to danger / a. engaged in or accustomed to close observation
alien	'eiljәn	n. 外国人, 外侨；a. 外国的, 相异的	v. transfer property or ownership / s. not contained in or deriving from the essential nature of something / s. being or from or characteristic of another place or part of the world
align	ә'lain	vi. 排列, 排成一行, 结盟；vt. 使结盟, 使成一行, 校正	v. place in a line or arrange so as to be parallel or straight / v. be or come into adjustment with / v. align oneself with a group or a way of thinking
alignment	ә'lainmәnt	n. 队列, 结盟, 校正；校准; 对齐; 对准	n. the spatial property possessed by an arrangement or position of things in a straight line or in parallel lines / n. the act of adjusting or aligning the parts of a device in relation to each other
alike	ә'laik	a. 相似的, 同样的；adv. 一样, 以同样的方式	a. having the same or similar characteristics / r. equally / r. in a like manner
alive	ә'laiv	a. 活着的, 活泼的, 敏感的, 热闹的	a. possessing life / s. (often followed by `with') full of life and spirit / s. (followed by `to' or `of') aware of
all	ɒ:l	a. 所有的, 全部的, 一切的；adv. 全部, 全然；pron. 全部	a. quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class / s. completely given to or absorbed by
allegation	.æli'geiʃәn	n. 断言, 主张, 申辩；声明, 事实陈述, 断言	n. (law) a formal accusation against somebody (often in a court of law) / n. statements affirming or denying certain matters of fact that you are prepared to prove
allege	ә'ledʒ	vt. 宣称, 主张, 提出, 断言；断言, 指称, 指证	v. report or maintain
alleged	ә'ledʒd	a. 被断言的, 所谓的；提出而尚未证实的, 声称的, 宣称的	s. declared but not proved / s. doubtful or suspect
allegedly	ә'ledʒidli	adv. 依其申述	r. according to what has been alleged
allegiance	ә'li:dʒәns	n. 忠贞, 效忠	n. the loyalty that citizens owe to their country (or subjects to their sovereign)
allergy	'ælәdʒi	n. 变应性, 反感, 厌恶；变态反应; 变应性	n. hypersensitivity reaction to a particular allergen; symptoms can vary greatly in intensity
alleviate	ә'li:vieit	vt. 减轻, 使缓和	v provide physical relief, as from pain / v make easier
alley	'æli	n. 小路, 巷	n. a narrow street with walls on both sides
alliance	ә'laiәns	n. 联盟, 联合；同盟, 联盟, 联姻	n. the state of being allied or confederated / n. a connection based on kinship or marriage or common interest / n. an organization of people (or countries) involved in a pact or treaty
allied	ә'laid	a. 联盟的, 联姻的, 联系起来的	s. related by common characteristics or ancestry / a. of or relating to or denoting the Allies in World War II / a. of or relating to or denoting the Allies in World War I
allocate	'ælәukeit	vt. 分派, 分配；分配	v. distribute according to a plan or set apart for a special purpose
allocation	.ælәu'keiʃәn	n. 配置, 分配, 拨给；分配, 拨款, 分摊	n. (computer science) the assignment of particular areas of a magnetic disk to particular data or instructions
allow	ә'lau	vt. 允许, 同意给予, 承认；vi. 容许, 猜想；允许命令	v. let have / v. give or assign a resource to a particular person or cause / v. allow or plan for a certain possibility; concede the truth or validity of something
allowance	ә'lauәns	n. 津贴, 零用钱, 限额, 折扣, 允许；vt. 定量供应	n. an amount allowed or granted (as during a given period) / n. a sum granted as reimbursement for expenses / n. an amount added or deducted on the basis of qualifying circumstances
ally	'ælai. ә'lai	n. 同盟者, 同盟国, 助手；vt. 使联盟, 使联合, 使有关系；vi. 结盟	n. a friendly nation / n. an associate who provides cooperation or assistance / v. become an ally or associate, as by a treaty or marriage
almond	'ɑ:mәnd	n. 杏仁；杏仁	n. small bushy deciduous tree native to Asia and North Africa having pretty pink blossoms and highly prized edible nuts enclosed in a hard green hull; cultivated in southern Australia and California / n. oval-shaped edible seed of the almond tree
almost	'ɒ:lmәust	adv. 几乎, 差不多	r (of actions or states) slightly short of or not quite accomplished; all but
alone	ә'lәun	a. 孤独的, 单独的, 独自的；adv. 独自地	s. isolated from others / s. lacking companions or companionship / s. exclusive of anyone or anything else
along	ә'lɒŋ	adv. 平行地, 向前；prep. 沿着	r. with a forward motion / r. in accompaniment or as a companion / r. to a more advanced state
alongside	ә'lɒŋ'said	adv. 在旁边, 靠拢着；prep. 在...旁边, 与...在一起	r side by side
aloud	ә'laud	adv. 出声地, 大声地	r. using the voice; not silently
alpha	'ælfә	n. 希腊字母表的第一个字母, 最初, 开端；α(希腊文的第一个字母), 甲种	n. the 1st letter of the Greek alphabet / n. the beginning of a series or sequence / s. first in order of importance
already	ɒ:l'redi	adv. 已经, 早已	r. prior to a specified or implied time
also	'ɒ:lsәu	adv. 也, 并且, 同样地	r in addition
altar	'ɒ:ltә	n. 圣坛, 祭坛	n. the table in Christian churches where communion is given / n. a raised structure on which gifts or sacrifices to a god are made
alter	'ɒ:ltә	v. 改变	v. make an alteration to / v. remove the ovaries of
alternate	'ɒ:ltәnәt	a. 交替的, 轮流的, 间隔的；v. 轮流, (使)交替	v. go back and forth; swing back and forth between two states or conditions / v. exchange people temporarily to fulfill certain jobs and functions / v. do something in turns
alternative	ɒ:l'tә:nәtiv	n. 两者择一, 供替代的选择；a. 两者择一的, 供选择的；选择对象	s. necessitating a choice between mutually exclusive possibilities / s. pertaining to unconventional choices
although	ɒ:l'ðou	conj. 虽然, 尽管	conj. Grant all this; be it that; supposing that / notwithstanding; though.
altitude	'æltitju:d	n. 高度, 海拔, 高处；高度	n. elevation especially above sea level or above the earth's surface / n. the perpendicular distance from the base of a geometric figure to the opposite vertex (or side if parallel)
altogether	.ɒ:ltә'geðә	adv. 完全地, 总而言之	r. with everything included or counted
aluminum	ә'lu:minәm	n. 铝；铝Al	n. a silvery ductile metallic element found primarily in bauxite
alumnus	ә'lʌmnәs	n. 男毕业生, 男校友	n. a person who has received a degree from a school (high school or college or university)
always	'ɒ:lweiz	adv. 总是, 始终	r. at all times; all the time and on every occasion / r. at any time or in any event / r. forever; throughout all time
AM	æm	be的单数第一人称；存取管理程序, 寻址方式, 地址标记, 变址数, 调幅, 辅助存储器	n a radioactive transuranic metallic element; discovered by bombarding uranium with helium atoms / n a master's degree in arts and sciences / n modulation of the amplitude of the (radio) carrier wave
amateur	'æmәtә	n. 业余爱好者, 外行, 爱好者；业余家	n. someone who pursues a study or sport as a pastime / n. an athlete who does not play for pay / s. engaged in as a pastime
amazed	ә'meizd	a. 吃惊的, 惊奇的	s. filled with the emotional impact of overwhelming surprise or shock
amazing	ә'meiziŋ	a. 令人惊异的	s. surprising greatly / s. inspiring awe or admiration or wonder
ambassador	æm'bæsәdә	n. 大使；大使, 使节, 代理	n. a diplomat of the highest rank; accredited as representative from one country to another / n. an informal representative
ambiguity	.æmbi'gju:iti	n. 不明确, 含糊；二义性; 多义性	n. an expression whose meaning cannot be determined from its context / n. unclearness by virtue of having more than one meaning
ambiguous	æm'bigjuәs	a. 不明确的, 模棱两可的；意思含糊的, 模棱两可的, 暧昧的	a. having more than one possible meaning / s. having no intrinsic or objective meaning; not organized in conventional patterns
ambition	æm'biʃәn	n. 野心, 志向	n. a cherished desire / n. a strong drive for success / v. have as one's ambition
ambitious	æm'biʃәs	a. 有野心的, 抱负不凡的, 雄心勃勃的	a. having a strong desire for success or achievement / s. requiring full use of your abilities or resources
ambulance	'æmbjulәns	n. 救护车；救护车	n. a vehicle that takes people to and from hospitals
amend	ә'mend	vt. 修改, 改善, 改良；vi. 改过自新	v. make amendments to
amendment	ә'mendmәnt	n. 修订, 改善, 改良, 改正；调理剂; 修正	n. the act of amending or correcting / n. a statement that is added to or revises or improves a proposal or document (a bill or constitution etc.)
American	ә'merikәn	n. 美国人；a. 美国的, 美洲的	n. a native or inhabitant of the United States / n. a native or inhabitant of a North American or Central American or South American country / a. of or relating to the United States of America or its people or language or culture
amid	ә'mid	prep. 在其间, 在其中；在...中	prep. See Amidst. / prep. In the midst or middle of; surrounded or encompassed by / among.
